letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
Δ,zeta8,eta8,none,none,anti,ccw,,cw,0,s,w,static,noRotation,,static,0,nw,nw,3
Ω-,zeta8,zeta12,none,none,anti,ccw,,cw,0,s,w,dash,noRotation,,dash,0,nw,se,3
O,zeta8,eta10,none,opp,anti,cw,,ccw,0,s,e,pro,cw,,cw,0,nw,ne,3
V,zeta8,zeta6,none,same,anti,cw,,ccw,0,s,e,pro,ccw,,ccw,0,nw,sw,3
N,zeta8,eta10,none,opp,anti,cw,,ccw,0,s,e,anti,ccw,,cw,0,nw,ne,3
T,zeta8,zeta6,none,same,anti,cw,,ccw,0,s,e,anti,cw,,ccw,0,nw,sw,3
X,zeta8,zeta16,none,none,anti,cw,,ccw,0,s,e,static,noRotation,,static,0,nw,nw,3
Z-,zeta8,eta4,none,none,anti,cw,,ccw,0,s,e,dash,noRotation,,dash,0,nw,se,3
W,zeta8,zeta10,none,none,static,noRotation,,static,0,s,s,pro,cw,,cw,0,nw,ne,3
Σ,zeta8,eta6,none,none,static,noRotation,,static,0,s,s,pro,ccw,,ccw,0,nw,sw,3
X,zeta8,zeta10,none,none,static,noRotation,,static,0,s,s,anti,ccw,,cw,0,nw,ne,3
Δ,zeta8,eta6,none,none,static,noRotation,,static,0,s,s,anti,cw,,ccw,0,nw,sw,3
ζ,zeta8,zeta8,none,none,static,noRotation,,static,0,s,s,static,noRotation,,static,0,nw,nw,3
Ψ,zeta8,eta12,none,none,static,noRotation,,static,0,s,s,dash,noRotation,,dash,0,nw,se,3
Y-,zeta8,eta2,none,none,dash,noRotation,,dash,0,s,n,pro,cw,,cw,0,nw,ne,3
Θ-,zeta8,zeta14,none,none,dash,noRotation,,dash,0,s,n,pro,ccw,,ccw,0,nw,sw,3
Z-,zeta8,eta2,none,none,dash,noRotation,,dash,0,s,n,anti,ccw,,cw,0,nw,ne,3
Ω-,zeta8,zeta14,none,none,dash,noRotation,,dash,0,s,n,anti,cw,,ccw,0,nw,sw,3
Ψ,zeta8,eta16,none,none,dash,noRotation,,dash,0,s,n,static,noRotation,,static,0,nw,nw,3
Φ-,zeta8,zeta4,none,none,dash,noRotation,,dash,0,s,n,dash,noRotation,,dash,0,nw,se,3
S,zeta1,zeta3,none,same,pro,cw,,cw,0,sw,nw,pro,cw,,cw,0,n,e,3
P,zeta1,eta15,none,opp,pro,cw,,cw,0,sw,nw,pro,ccw,,ccw,0,n,w,3
V,zeta1,zeta3,none,same,pro,cw,,cw,0,sw,nw,anti,ccw,,cw,0,n,e,3
R,zeta1,eta15,none,opp,pro,cw,,cw,0,sw,nw,anti,cw,,ccw,0,n,w,3
Σ,zeta1,eta1,none,none,pro,cw,,cw,0,sw,nw,static,noRotation,,static,0,n,n,3
Θ-,zeta1,zeta13,none,none,pro,cw,,cw,0,sw,nw,dash,noRotation,,dash,0,n,s,3
M,zeta1,eta11,none,opp,pro,ccw,,ccw,0,sw,se,pro,cw,,cw,0,n,e,3
S,zeta1,zeta7,none,same,pro,ccw,,ccw,0,sw,se,pro,ccw,,ccw,0,n,w,3
O,zeta1,eta11,none,opp,pro,ccw,,ccw,0,sw,se,anti,ccw,,cw,0,n,e,3
U,zeta1,zeta7,none,same,pro,ccw,,ccw,0,sw,se,anti,cw,,ccw,0,n,w,3
W,zeta1,zeta9,none,none,pro,ccw,,ccw,0,sw,se,static,noRotation,,static,0,n,n,3
Y-,zeta1,eta5,none,none,pro,ccw,,ccw,0,sw,se,dash,noRotation,,dash,0,n,s,3
U,zeta1,zeta3,none,same,anti,ccw,,cw,0,sw,nw,pro,cw,,cw,0,n,e,3
R,zeta1,eta15,none,opp,anti,ccw,,cw,0,sw,nw,pro,ccw,,ccw,0,n,w,3
T,zeta1,zeta3,none,same,anti,ccw,,cw,0,sw,nw,anti,ccw,,cw,0,n,e,3
Q,zeta1,eta15,none,opp,anti,ccw,,cw,0,sw,nw,anti,cw,,ccw,0,n,w,3
Δ,zeta1,eta1,none,none,anti,ccw,,cw,0,sw,nw,static,noRotation,,static,0,n,n,3
Ω-,zeta1,zeta13,none,none,anti,ccw,,cw,0,sw,nw,dash,noRotation,,dash,0,n,s,3
O,zeta1,eta11,none,opp,anti,cw,,ccw,0,sw,se,pro,cw,,cw,0,n,e,3
V,zeta1,zeta7,none,same,anti,cw,,ccw,0,sw,se,pro,ccw,,ccw,0,n,w,3
N,zeta1,eta11,none,opp,anti,cw,,ccw,0,sw,se,anti,ccw,,cw,0,n,e,3
T,zeta1,zeta7,none,same,anti,cw,,ccw,0,sw,se,anti,cw,,ccw,0,n,w,3
X,zeta1,zeta9,none,none,anti,cw,,ccw,0,sw,se,static,noRotation,,static,0,n,n,3
Z-,zeta1,eta5,none,none,anti,cw,,ccw,0,sw,se,dash,noRotation,,dash,0,n,s,3
W,zeta1,zeta11,none,none,static,noRotation,,static,0,sw,sw,pro,cw,,cw,0,n,e,3
Σ,zeta1,eta7,none,none,static,noRotation,,static,0,sw,sw,pro,ccw,,ccw,0,n,w,3
X,zeta1,zeta11,none,none,static,noRotation,,static,0,sw,sw,anti,ccw,,cw,0,n,e,3
Δ,zeta1,eta7,none,none,static,noRotation,,static,0,sw,sw,anti,cw,,ccw,0,n,w,3
ζ,zeta1,zeta1,none,none,static,noRotation,,static,0,sw,sw,static,noRotation,,static,0,n,n,3
Ψ,zeta1,eta13,none,none,static,noRotation,,static,0,sw,sw,dash,noRotation,,dash,0,n,s,3
Y-,zeta1,eta3,none,none,dash,noRotation,,dash,0,sw,ne,pro,cw,,cw,0,n,e,3
Θ-,zeta1,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,pro,ccw,,ccw,0,n,w,3
Z-,zeta1,eta3,none,none,dash,noRotation,,dash,0,sw,ne,anti,ccw,,cw,0,n,e,3
Ω-,zeta1,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,anti,cw,,ccw,0,n,w,3
Ψ,zeta1,eta9,none,none,dash,noRotation,,dash,0,sw,ne,static,noRotation,,static,0,n,n,3
Φ-,zeta1,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,dash,noRotation,,dash,0,n,s,3
S,zeta11,zeta13,none,same,pro,cw,,cw,0,sw,nw,pro,cw,,cw,0,e,s,3
M,zeta11,eta1,none,opp,pro,cw,,cw,0,sw,nw,pro,ccw,,ccw,0,e,n,3
